ciclo;timestamp;profile;blocks;headers;verificationprogress;cpu_percent;mem_percent;disk_used_MB;net_rx_kB;net_tx_kB
239;2025-07-31 05:05:14;lightning;586355;907895;0.3578588628978484;40,6;13,17;26199;9866178758;35175985
240;2025-07-31 05:06:18;lightning;587146;907895;0.3592294474641787;39,1;13,57;26035;9867044986;35179180
241;2025-07-31 05:07:26;lightning;588287;907895;0.361104326262388;38,7;14,01;25519;9867752766;35180466
242;2025-07-31 05:08:28;lightning;589145;907895;0.3626191323716436;38,1;13,39;26116;9868878908;35183195
243;2025-07-31 05:09:30;lightning;589996;907895;0.3641268377651839;39,7;14,07;26032;9869766449;35186211
244;2025-07-31 05:10:30;lightning;590787;907895;0.3655512059274227;37,5;13,23;25982;9870482545;35187613
245;2025-07-31 05:11:30;lightning;591533;907895;0.3669031563701062;37,1;13,32;25583;9871180126;35189357
246;2025-07-31 05:12:31;lightning;592311;907895;0.368278829596801;40;13,89;26154;9872001637;35190924
247;2025-07-31 05:13:34;lightning;593126;907895;0.3697081222689116;34,9;13,54;25866;9872946967;35193139
248;2025-07-31 05:14:34;lightning;593944;907895;0.3710986554184107;38,7;13,27;26226;9873859806;35195503
249;2025-07-31 05:15:35;lightning;594778;907895;0.3724656443084803;35,9;13,30;25984;9874584101;35196935
250;2025-07-31 05:16:35;lightning;595581;907895;0.3738469412101139;38,5;12,73;26197;9875309202;35199244
251;2025-07-31 05:17:41;lightning;596461;907895;0.375431216864034;37,5;12,76;26313;9876381313;35201043
252;2025-07-31 05:18:44;lightning;597358;907895;0.3770163915880586;36,5;12,70;26185;9877178431;35202480
