ciclo;timestamp;profile;blocks;headers;verificationprogress;cpu_percent;mem_percent;disk_used_MB;net_rx_kB;net_tx_kB
229;2025-07-22 06:55:18;estandar;581656;906625;0.3501609594548979;38,1;13,19;290472;5723817319;22026166
230;2025-07-22 06:56:19;estandar;582343;906625;0.3514647221302598;35,9;13,45;291236;5724241585;22027768
231;2025-07-22 06:57:23;estandar;582947;906626;0.3526925080018778;34,4;13,53;292021;5725093844;22031146
232;2025-07-22 06:58:27;estandar;583759;906626;0.354187623218378;38,5;13,58;293280;5725973956;22034821
233;2025-07-22 06:59:27;estandar;584264;906626;0.3550317757508347;38,1;13,52;294222;5726878084;22038472
234;2025-07-22 07:00:27;estandar;585043;906626;0.3564949119822877;35,9;13,57;295025;5727522631;22039676
235;2025-07-22 07:01:28;estandar;585936;906626;0.3581744336692387;34,9;13,27;295835;5728436104;22042842
236;2025-07-22 07:02:29;estandar;586465;906626;0.3590783032189962;36,5;13,43;296951;5729009749;22044537
237;2025-07-22 07:03:29;estandar;587338;906626;0.3605741283462285;34,9;13,95;297618;5729878155;22046851
238;2025-07-22 07:04:29;estandar;588158;906626;0.3619446903926402;25,8;13,34;298600;5730775126;22049894
239;2025-07-22 07:05:33;estandar;588810;906626;0.3630256185343311;34,9;14,11;299920;5731584290;22052566
240;2025-07-22 07:06:37;estandar;589756;906626;0.3647146064318005;33,9;13,69;300574;5732418083;22055327
241;2025-07-22 07:07:39;estandar;590663;906626;0.3664288461257638;35,4;14,14;301631;5733380518;22059025
242;2025-07-22 07:08:39;estandar;591161;906626;0.3673118877434561;46,8;14,46;302480;5733916364;22060047
243;2025-07-22 07:09:39;estandar;591827;906627;0.3684472547946457;42,9;12,89;303530;5734961655;22063239
244;2025-07-22 07:10:40;estandar;592877;906628;0.3703225256742754;35,4;13,95;304344;5735694572;22066559
245;2025-07-22 07:11:41;estandar;593402;906628;0.3712980832739076;39,7;14,05;305429;5736395960;22068339
246;2025-07-22 07:12:41;estandar;594348;906628;0.3728427740095827;41,9;13,37;306228;5737186028;22070693
247;2025-07-22 07:13:41;estandar;595009;906629;0.3739372410426477;23,4;12,93;307468;5738377011;22076659
248;2025-07-22 07:14:43;estandar;595795;906629;0.3753342367625083;33,9;13,36;308223;5738776257;22078685
249;2025-07-22 07:15:46;estandar;596541;906629;0.3766719671997358;36,9;13,27;309188;5739510888;22080582
250;2025-07-22 07:16:46;estandar;597403;906630;0.3782051026422163;19,4;13,27;310097;5740602364;22084613
251;2025-07-22 07:18:08;estandar;598486;906630;0.3801002009825174;41,3;13,33;311556;5741543663;22088246
